"ch"	"Year"	"Day_of_Season"
"11110101.10110000000.000000"	"2006"	24
"11110000.00000000000.000000"	"2006"	24
"11110000.00000000000.000000"	"2006"	24
"110100.00000000000.00000000"	"2006"	26
"110100.00000000000.00000000"	"2006"	26
"110100.00000000000.00000000"	"2006"	26
"1111..10000.0000000.000.0.."	"2006"	28
"1..101.00010100101111100100"	"2006"	28
"1000.00000000000.0000000000"	"2006"	28
"1111..10000.0000000.000.0.."	"2006"	28
"11..11011.1011001.001.1..11"	"2006"	30
"11..11011.1011001.001.1..11"	"2006"	30
"11..11011.1011001.001.1..11"	"2006"	30
"100110000110100110010000001"	"2006"	31
"100110000110100110010000001"	"2006"	31
"11.010110110101010111011010"	"2006"	32
"11.010110110101010111011010"	"2006"	32
"100100100101001010110010101"	"2006"	32
"11.010110110101010111011010"	"2006"	32
"100011011010010101010101010"	"2006"	33
"1101001000.0000000000000000"	"2006"	34
"1011011010110100100000000.0"	"2006"	35
"1011011010110100100000000.0"	"2006"	35
"1010010010010001100101011.1"	"2006"	35
"1010010010010001100101011.1"	"2006"	35
"010000000000000000000000000"	"2006"	34
"1111.0000000.000.0..00..0.."	"2006"	35
"1111.0000000.000.0..00..0.."	"2006"	35
"1000000000000000000000000.0"	"2006"	35
"1111.0000000.000.0..00..0.."	"2006"	35
"111.1110000.000.0..00..0..."	"2006"	36
"111.1110000.000.0..00..0..."	"2006"	36
"11001000000000000101010.00."	"2006"	37
"11001000000000000101010.00."	"2006"	37
"111000000000000000000000000"	"2006"	38
"111110000000000000000000000"	"2006"	38
"1000000000000000000000.00.0"	"2006"	38
"10000.000000000000000000000"	"2006"	39
"11.110001101011110100000101"	"2006"	26
"11.110001101011110100000101"	"2006"	26
"11.110001101011110100000101"	"2006"	26
"11101001.000010100000101010"	"2006"	36
"11101001.000010100000101010"	"2006"	36
"1.1011.10110101101110111100"	"2007"	7
"1.1011.10110101101110111100"	"2007"	7
"1.1011.10110101101110111100"	"2007"	7
"1011.1110010101001011000000"	"2007"	9
"1111.1110110111111011101000"	"2007"	9
"111111110.1.1010.1.11000.0."	"2007"	9
"11101001.000010100000101010"	"2006"	36
"1011.11.1.1111.1.10000.0.01"	"2007"	11
"111101001011110100110000110"	"2007"	14
"111101001011110100110000110"	"2007"	14
"101111101011110101100100011"	"2007"	11
"10001100011011.1101000.1000"	"2007"	16
"10001100011011.1101010.1000"	"2007"	16
"111111100010101000100010000"	"2007"	22
"111.11111.1.010110011111101"	"2007"	22
