"Year"	"Bird_ID"	"Eggs"
"2006"	1	10
"2006"	2	12
"2006"	3	4
"2006"	4	6
"2006"	5	6
"2006"	6	6
"2006"	7	6
"2006"	8	4
"2006"	9	6
"2006"	10	6
"2006"	11	6
"2006"	12	4
"2006"	13	6
"2006"	14	6
"2006"	15	6
"2006"	16	6
"2006"	17	6
"2006"	18	12
"2006"	19	6
"2006"	20	6
"2006"	21	6
"2006"	22	6
"2006"	23	12
"2006"	24	12
"2006"	25	12
"2006"	26	10
"2006"	27	6
"2006"	28	6
"2006"	29	6
"2006"	30	6
"2006"	31	6
"2006"	32	6
"2006"	33	6
"2006"	34	6
"2006"	35	6
"2006"	36	6
"2006"	37	6
"2006"	38	6
"2006"	39	6
"2006"	40	6
"2006"	41	6
"2006"	42	6
"2006"	43	6
"2006"	44	6
"2006"	45	6
"2006"	46	6
"2006"	48	6
"2006"	49	4
"2006"	50	6
"2006"	51	6
"2006"	52	6
"2006"	53	12
"2006"	54	6
"2006"	55	6
"2006"	56	6
"2006"	57	6
"2006"	58	6
"2006"	72	6
"2006"	103	6
"2006"	105	6
"2006"	109	6
"2006"	111	12
"2006"	126	6
"2006"	128	6
"2006"	129	6
"2006"	130	6
"2006"	133	12
"2006"	134	10
"2006"	135	6
"2006"	136	6
"2006"	137	6
"2006"	138	6
"2006"	139	6
"2006"	140	6
"2006"	141	12
"2006"	142	6
"2006"	146	6
"2006"	150	12
"2006"	156	6
"2006"	161	6
"2006"	162	6
"2006"	163	12
"2006"	172	6
"2006"	184	6
"2006"	189	6
"2006"	192	6
"2006"	194	6
"2006"	195	6
"2006"	199	6
"2006"	208	6
"2006"	217	6
"2006"	235	10
"2006"	236	6
"2006"	237	6
"2006"	238	6
"2006"	239	6
"2006"	240	6
"2006"	250	6
"2006"	251	12
"2006"	256	6
"2006"	258	6
"2006"	259	6
"2007"	1	10
"2007"	3	6
"2007"	4	6
"2007"	7	6
"2007"	8	4
"2007"	13	6
"2007"	14	12
"2007"	16	6
"2007"	21	6
"2007"	22	2
"2007"	23	6
"2007"	24	6
"2007"	25	6
"2007"	26	6
"2007"	30	6
"2007"	31	6
"2007"	34	6
"2007"	37	12
"2007"	42	6
"2007"	43	6
"2007"	44	4
"2007"	50	16
"2007"	51	10
"2007"	54	6
"2007"	56	6
"2007"	58	6
"2007"	59	6
"2007"	62	12
"2007"	63	6
"2007"	67	12
"2007"	68	6
"2007"	69	6
"2007"	70	12
"2007"	71	6
"2007"	72	6
"2007"	73	6
"2007"	74	6
"2007"	77	12
"2007"	78	6
"2007"	79	6
"2007"	80	6
"2007"	81	12
"2007"	82	6
"2007"	83	6
"2007"	84	6
"2007"	85	6
"2007"	86	6
"2007"	87	6
"2007"	88	6
"2007"	89	6
"2007"	90	6
"2007"	91	6
"2007"	92	4
"2007"	93	6
"2007"	94	6
"2007"	95	6
"2007"	96	6
"2007"	97	6
"2007"	98	6
"2007"	99	6
"2007"	100	6
"2007"	101	6
"2007"	102	6
"2007"	103	12
"2007"	104	6
"2007"	110	6
"2007"	111	6
"2007"	112	6
"2007"	113	6
"2007"	114	6
"2007"	117	6
"2007"	118	6
"2007"	119	4
"2007"	126	6
"2007"	133	10
"2007"	134	12
"2007"	135	10
"2007"	136	6
"2007"	138	6
"2007"	139	6
"2007"	141	6
"2007"	143	6
"2007"	146	6
"2007"	152	10
"2007"	156	4
"2007"	163	12
"2007"	171	6
"2007"	184	6
"2007"	189	6
"2007"	192	6
"2007"	195	6
"2007"	208	12
"2007"	238	6
"2007"	246	6
"2007"	251	6
"2007"	254	6
"2007"	255	10
"2007"	257	12
"2007"	258	6
"2008"	3	6
"2008"	7	4
"2008"	21	6
"2008"	23	6
"2008"	25	6
"2008"	30	6
"2008"	31	6
"2008"	37	12
"2008"	44	12
"2008"	47	6
"2008"	50	6
"2008"	54	6
"2008"	56	4
"2008"	60	6
"2008"	61	6
"2008"	64	6
"2008"	65	4
"2008"	66	6
"2008"	67	6
"2008"	73	6
"2008"	80	6
"2008"	81	12
"2008"	86	6
"2008"	87	6
"2008"	92	6
"2008"	97	6
"2008"	106	6
"2008"	107	2
"2008"	108	6
"2008"	110	6
"2008"	112	12
"2008"	114	6
"2008"	116	6
"2008"	118	12
"2008"	120	6
"2008"	121	6
"2008"	123	6
"2008"	129	6
"2008"	131	6
"2008"	136	4
"2008"	139	6
"2008"	144	6
"2008"	147	6
"2008"	148	6
"2008"	154	6
"2008"	155	2
"2008"	161	6
"2008"	189	6
"2008"	192	6
"2008"	246	8
"2008"	257	6
"2009"	20	6
"2009"	21	6
"2009"	22	6
"2009"	23	6
"2009"	25	12
"2009"	31	6
"2009"	44	10
"2009"	50	12
"2009"	53	6
"2009"	54	6
"2009"	59	6
"2009"	60	12
"2009"	61	6
"2009"	64	6
"2009"	73	6
"2009"	76	4
"2009"	78	6
"2009"	80	12
"2009"	81	6
"2009"	85	6
"2009"	86	4
"2009"	87	6
"2009"	89	6
"2009"	101	6
"2009"	102	6
"2009"	106	6
"2009"	107	6
"2009"	108	10
"2009"	110	6
"2009"	112	6
"2009"	114	6
"2009"	116	8
"2009"	118	6
"2009"	120	6
"2009"	121	6
"2009"	124	6
"2009"	129	6
"2009"	132	6
"2009"	136	10
"2009"	139	6
"2009"	152	6
