"FirstFound"	"LastPresent"	"LastChecked"	"Fate"	"Freq"	"NestAge"	"Year"	"std_time"
"1"	14	24	28	1	1	-9	"2006"	-1.055621031
"2"	24	49	49	0	1	-24	"2006"	-0.254215767
"3"	24	27	31	1	1	-19	"2006"	-0.504654912
"4"	25	48	48	0	1	-23	"2006"	-0.304303596
"5"	25	53	53	0	1	-24	"2006"	-0.053864451
"6"	25	32	35	1	1	-15	"2006"	-0.755094057
"7"	25	32	35	1	1	-22	"2006"	-0.354391425
"8"	17	41	44	1	1	-9	"2006"	-1.055621031
"9"	17	27	31	1	1	-16	"2006"	-0.554742741
"10"	19	47	50	1	1	-16	"2006"	-0.705006228
"11"	20	41	41	0	1	-16	"2006"	-0.705006228
"12"	20	20	22	1	1	-17	"2006"	-0.654918399
"13"	20	43	43	0	1	-18	"2006"	-0.554742741
"14"	28	31	33	1	1	-17	"2006"	-0.654918399
"15"	14	38	38	0	1	-13	"2006"	-0.855269715
"16"	16	18	21	1	1	-13	"2006"	-0.855269715
"17"	24	27	31	1	1	-19	"2006"	-0.504654912
"18"	14	41	41	0	1	-13	"2006"	-0.705006228
"19"	49	61	61	0	1	-36	"2006"	0.39692601
"20"	15	22	25	1	1	-7	"2006"	-1.155796689
"21"	19	45	45	0	1	-18	"2006"	-0.454567083
"22"	20	48	48	0	1	-19	"2006"	-0.304303596
"23"	26	48	48	0	1	-23	"2006"	-0.304303596
"24"	29	51	51	0	1	-26	"2006"	-0.154040109
"25"	39	54	54	0	1	-29	"2006"	-0.003776622
"26"	44	47	50	1	1	-33	"2006"	0.246662523
"27"	15	31	31	0	1	-6	"2006"	-1.205884519
"28"	25	56	56	0	1	-24	"2006"	0.046311207
"29"	15	15	17	1	1	-10	"2006"	-1.005533202
"30"	17	39	39	0	1	-14	"2006"	-0.805181886
"31"	24	36	39	1	1	-24	"2006"	-0.254215767
"32"	26	44	44	0	1	-18	"2006"	-0.554742741
"33"	32	42	45	1	1	-29	"2006"	-0.003776622
"34"	26	36	39	1	1	-25	"2006"	-0.204127938
"35"	33	46	50	1	1	-25	"2006"	-0.204127938
"36"	36	50	50	0	1	-28	"2006"	-0.053864451
"37"	36	57	57	0	1	-32	"2006"	0.196574694
"38"	49	73	73	0	1	-48	"2006"	0.997979958
"39"	28	51	51	0	1	-26	"2006"	-0.154040109
"40"	32	59	59	0	1	-31	"2006"	0.296750352
"41"	32	34	38	1	1	-29	"2006"	-0.003776622
"42"	35	58	61	1	1	-27	"2006"	-0.10395228
"43"	35	58	58	0	1	-33	"2006"	0.246662523
"44"	45	62	65	1	1	-45	"2006"	0.847716471
"45"	51	62	65	1	1	-51	"2006"	1.148243445
"46"	53	60	63	1	1	-50	"2006"	1.098155616
"47"	19	21	23	1	1	-18	"2006"	-0.554742741
"48"	54	76	76	0	1	-51	"2006"	1.148243445
"49"	49	79	83	1	1	-48	"2006"	1.148243445
"50"	49	53	57	1	1	-44	"2006"	0.797628642
"51"	49	57	57	0	1	-44	"2006"	0.196574694
"52"	57	70	73	1	1	-57	"2006"	1.448770419
"53"	50	69	69	0	1	-44	"2006"	0.797628642
"54"	50	68	68	0	1	-43	"2006"	0.747540813
"55"	50	56	59	1	1	-49	"2006"	1.048067787
"56"	50	62	62	0	1	-37	"2006"	0.447013839
"57"	50	59	62	1	1	-42	"2006"	0.697452984
"58"	65	73	76	1	1	-62	"2006"	1.699209564
"59"	19	29	32	1	1	-11	"2006"	-0.955445373
"60"	66	80	80	0	1	-55	"2006"	1.348594761
"61"	24	46	46	0	1	-21	"2006"	-0.404479254
"62"	24	51	53	1	1	-19	"2006"	-0.504654912
"63"	24	45	45	0	1	-20	"2006"	-0.454567083
"64"	25	53	56	1	1	-22	"2006"	-0.354391425
"65"	15	31	31	0	1	-6	"2006"	-1.205884519
"66"	35	50	53	1	1	-32	"2006"	0.196574694
"67"	19	41	41	0	1	-16	"2006"	-0.705006228
"68"	19	36	39	1	1	-14	"2006"	-0.805181886
"69"	26	31	35	1	1	-23	"2006"	-0.304303596
"70"	26	40	43	1	1	-26	"2006"	-0.154040109
"71"	32	48	52	1	1	-32	"2006"	0.196574694
"72"	35	54	54	0	1	-29	"2006"	-0.003776622
"73"	32	42	45	1	1	-27	"2006"	-0.10395228
"74"	33	40	43	1	1	-30	"2006"	0.046311207
"75"	33	45	48	1	1	-33	"2006"	0.246662523
"76"	36	49	49	0	1	-24	"2006"	-0.254215767
"77"	36	50	50	0	1	-23	"2006"	-0.304303596
"78"	36	44	47	1	1	-28	"2006"	-0.053864451
"79"	36	63	63	0	1	-38	"2006"	0.497101668
"80"	36	47	47	0	1	-22	"2006"	-0.354391425
"81"	38	57	57	0	1	-32	"2006"	0.196574694
"82"	38	63	63	0	1	-38	"2006"	0.497101668
"83"	35	44	47	1	1	-30	"2006"	0.046311207
"84"	49	55	59	1	1	-49	"2006"	1.048067787
"85"	50	50	52	1	1	-40	"2006"	0.597277326
"86"	44	56	59	0	1	-34	"2006"	0.296750352
"87"	40	63	63	0	1	-38	"2006"	0.497101668
"88"	35	51	54	1	1	-30	"2006"	0.046311207
"89"	54	58	61	1	1	-46	"2006"	0.8978043
"90"	55	67	67	0	1	-42	"2006"	0.697452984
"91"	55	79	79	0	1	-54	"2006"	1.298506932
"92"	55	55	58	1	1	-47	"2006"	0.947892129
"93"	15	39	39	0	1	-14	"2006"	-0.805181886
"94"	55	61	64	1	1	-43	"2006"	0.747540813
"95"	49	71	71	0	1	-46	"2006"	0.8978043
"96"	49	71	71	0	1	-46	"2006"	0.8978043
"97"	49	61	64	1	1	-44	"2006"	0.797628642
"98"	55	66	66	0	1	-41	"2006"	0.647365155
"99"	56	73	73	0	1	-48	"2006"	0.997979958
